plot.code,block,fragment,north,east,elevation,forestloss17,forestloss562,roaddensprim,roaddenssec,roaddistprim,roaddistsec,riverdist,pH,humus,soilN,soilP,bulkdens,soilmoist,soilPC1,soilPC2,ntaxa,FDisLOG,nriLOG,FRicLOG,FDisLOGr,FDisLOGe,woody,treesapling,nriLOGWoody,nriLOGSapling,nriLOGnonWoody
a10m56r,a,a10,572059,521457,454,0,4.76,1.12,2.91,1479.1,217.1,776,5.7,0,3.11,3.9,1.12,1.04,0.16,-0.66,7,1.248,1.855,0.507,1.543,-0.26,0.86,0.57,2.197,1.54,0
a10m5r,a,a10,572075,521404,430,0,4.7,1.15,2.92,1453.8,187.7,809,5.9,0,3.04,3.69,1.05,1.03,0.07,-0.02,13,1.226,0.63,0.382,1.278,-3.013,0.69,0.31,1.496,0.774,-0.6
a1f17r,a,a1,572990,520438,495,82.99,14.8,4.19,2.56,546,12.4,2044,5,1.6,2.66,5.94,1.42,1.03,1.42,-2.03,10,0.562,-0.722,0.334,-0.75,-3.007,0.4,0,0.394,na,-1.163
a1f56r,a,a1,573005,520398,499,85.47,14.79,4.19,2.64,530.5,22.8,2080,5.7,0,3.51,7.69,1.19,1.05,0.15,-1.75,10,0.385,-0.541,0.542,0.215,-2.795,0.3,0,-0.43,na,-0.207
a1m177r,a,a1,572971,520616,517,73.87,19.58,4.14,2.41,637.1,35.2,1949,5.7,0,1.16,4.05,1.16,1.02,2.45,1.24,9,0.015,-0.733,0.406,-0.928,-3.014,0.22,0,-0.485,na,-0.702
a1m17r,a,a1,572986,520474,513,0,14.81,4.18,2.56,549.7,17.7,2023,5.6,0.7,1.62,5.19,1.19,1.02,1.64,0.32,23,0.649,0.127,0.218,0.74,-3.015,0.7,0.44,0.074,-0.593,0.115
a1m562r,a,a1,572937,521009,580,9.55,21.31,4.42,2.28,567,54.2,1754,5.5,0,2.31,10.8,0.91,1.03,0.9,-0.55,18,0.916,0.947,0.585,1.081,-2.999,0.9,0.42,0.032,0.31,0
a1m56r,a,a1,573004,520513,529,10.9,15.79,4.06,2.48,549.1,17.7,2020,6,0.5,2.31,2.31,1.08,1.06,-1.13,0.15,15,-0.164,0.83,0.506,-0.07,-1.832,0.8,0.47,0.863,2.939,0.574
a1m5r,a,a1,573031,520459,510,25.12,15.69,4.01,2.52,29.7,503.9,2070,5.5,1.2,2.66,12.01,1.1,1.03,0.57,-1.32,13,0.495,0.354,0.566,0.599,-3.011,0.64,0.29,0.717,0.778,-0.278
b100f177r,b,b100,568203,523410,486,66.82,7.4,0,2.83,2623.2,40.7,1061,6.3,0,1.4,6.91,1.3,1.02,2.25,0.82,11,0.058,0.459,0.576,-0.642,-2.875,0.46,0,0.179,na,0.966
b100f17r,b,b100,568051,523341,501,4.93,6.49,0,2.95,2482.1,82,1020,6.4,0,1.77,7.49,1.36,1.02,2.01,0.38,15,0.884,-0.121,0.384,0.935,-3.013,0.73,0.33,-1.462,-1.106,0.195
b100f562r,b,b100,568555,523539,514,0,5.34,0,2.52,2945.6,98.5,699,6.7,0.4,2.19,10.38,1.25,1.03,0.53,0.07,11,0.907,0.268,0.211,0.837,-2.774,0.91,0.64,-0.48,-0.983,0
b100f56r,b,b100,568109,523322,484,24.52,6.78,0,2.91,2499.2,25.7,985,6.6,0.2,2.48,7.83,0.97,1.04,-0.68,0.43,12,-0.445,0.118,0.539,-0.248,-2.979,0.67,0.42,-0.275,-1.347,0.186
b100m177r,b,b100,567891,523251,436,22.29,6.89,0,2.87,2316.6,179.8,968,5.6,0,3.14,7.13,1.4,1.03,1.85,-1.48,17,-0.09,-0.361,0.273,-0.679,-2.876,0.5,0.22,0.429,0.668,-0.483
b100m17r,b,b100,568048,523287,468,32.59,6.52,0,2.91,2435.3,74.9,962,5.4,1.2,2,9.3,1.16,1.03,0.79,-1.14,15,-0.418,-0.673,0.168,-0.467,-2.729,0.56,0.38,-0.337,-0.058,-1.218
b100m562r,b,b100,567530,523105,456,21.29,7.57,0,2.9,2012.6,151.3,1024,6.4,0,1.24,6.54,0.81,1.03,0.26,1.77,17,1.745,-0.28,0.272,1.888,-3.015,0.67,0.5,-1.602,-1.487,0.182
b100m56r,b,b100,567979,523340,490,7.04,6.15,0,2.85,2441.1,148.7,1030,6.2,0,1.39,9.72,1.23,1.02,2.2,0.53,15,0.35,0.312,0.285,0.176,-3.012,0.53,0.37,1.173,0.879,-0.256
b100m5r,b,b100,568017,523398,498,10.02,6.32,0,2.84,2510.6,102.3,1079,6,0,1.93,7.85,1.21,1.03,1.64,-0.03,13,0.632,-0.201,0.229,0.218,-2.742,0.54,0.15,-0.776,-0.441,0.18
b10f177r,b,b10,568034,522477,335,0,7.38,0,4.37,1823.7,76,218,5.8,0,1.8,7.67,1.09,1.03,1.26,-0.07,15,2.166,0.03,0.429,1.503,-3,0.81,0.63,-0.058,0.516,0.164
b10f56r,b,b10,567913,522502,320,22.87,8.03,0.08,4.15,1748.9,110.1,328,5.8,0,2.4,9,1.21,1.03,1.27,-0.88,9,0.136,0.465,0.618,0.624,-2.847,0.78,0.44,0.65,0.861,-0.008
b10m177r,b,b10,567723,522651,365,60.09,10.75,0.08,3.66,1730.9,12.9,567,5.6,0,2.02,10.3,1.21,1.04,1.4,-1.16,13,0.421,1.448,0.327,0.626,-3.014,0.85,0.54,1.362,1.265,0
b10m1r,b,b10,567857,522544,338,31.63,8.42,0.08,3.95,1797.1,113.4,401,5.8,0,2.19,5.59,1.19,1.04,0.97,-0.49,6,0.291,0.604,0.317,-0.199,-2.08,0.5,0.17,0.554,0,0.974
b10m562r,b,b10,567396,522839,384,15.22,15.7,0.08,3.03,1717.5,284,891,5.9,0,2.01,11.33,1.01,1.03,1.13,-0.15,7,0.304,0.484,0.431,0.293,-2.978,0.63,0.38,-0.153,0.023,0.578
b10m56r,b,b10,567834,522596,344,3.53,8.99,0.08,3.81,1760.6,59.5,447,5.8,0,1.96,4.2,1.07,1.03,0.8,0.25,17,0.967,0.985,0.473,0.757,-2.982,0.77,0.65,1.378,1.133,0.118
b10m5r,b,b10,567891,522592,309,0,8.28,0,4.09,1738.9,64.5,397,5.8,0,1.64,4.52,1.1,1.03,1.47,0.62,16,1.524,0.638,0.7,1.671,-3.01,0.88,0.65,-0.595,0.458,0.871
b1f1r,b,b1,569331,522642,402,55.47,6.26,0,3.63,2425.3,42.6,247,5.8,0,2.55,19.33,1.38,1.03,1.97,-1.98,12,-0.33,-1.04,0.558,-0.757,-3.014,0.21,0.07,0.028,0,-0.559
b1f56r,b,b1,569309,522601,393,7.1,6.48,0,3.67,2397.4,66.8,208,6.1,0.6,2.37,12.45,1.25,1.03,0.87,-0.83,18,0.762,1.751,0.486,0.713,-2.901,0.79,0.53,1.635,1.986,2.791
b1m177r,b,b1,569400,522809,435,79.76,5.32,0,3.56,2550.2,101.2,253,5.6,0.6,2.04,9.55,1.25,1.03,1.44,-0.9,14,-0.001,-0.47,0.377,-0.74,-2.947,0.5,0.07,-0.478,0,-1.077
b1m1r,b,b1,569296,522657,381,73.56,6.06,0,3.72,2454,65,210,6,0,2.53,6.63,1.27,1.03,1.05,-0.63,17,-0.611,-0.322,0.383,-1.114,-3.015,0.44,0.17,-1.496,-1.293,0.111
b1m562r,b,b1,569623,523122,512,0,3.44,0,2.94,2774.1,169.2,406,6.2,1.5,1.87,12.29,1.01,1.03,-0.06,0.01,17,1.021,0.423,0.482,0.979,-3.015,0.89,0.67,0.499,-0.208,-1.734
b1m56r,b,b1,569367,522687,401,0,6.19,0,3.66,2450.8,9.2,287,5.8,0,1.71,7.42,0.95,1.03,1.17,0.53,15,0.21,-0.333,0.315,-0.517,-3.015,0.44,0.13,0.221,0.058,-0.44
