species.code,family,genus,species,species.name,tree,woody,origin,pgf,height,sla,wood.dens,dispersal,fruit,seed,reproduction,lifehistory,pollination
cyr075,Gesneriaceae,Cyrtandra,sp. TFD075,Cyrtandra sp. TFD075,no,no,n,C,2,206.25,na,N,S,4,s,p,na
cyrdid1,Gesneriaceae,Cyrtandra,cf. didisandriformis,Cyrtandra cf. didisandriformis,no,no,n,C,2,206.25,na,N,S,4,s,p,na
cyrgib1,Gesneriaceae,Cyrtandra,cf. gibbsiae,Cyrtandra cf. gibbsiae,no,no,n,C,2,206.25,na,N,S,4,s,p,na
cyrped1,Gesneriaceae,Cyrtandra,cf. pedicellata,Cyrtandra cf. pedicellata,no,no,n,C,2,206.25,na,N,S,4,s,p,na
dacros,Burseraceae,Dacryodes,rostrata,Dacryodes rostrata,yes,yes,n,F,45,154.17,0.55,J,W,1,s,p,d
dacrug,Burseraceae,Dacryodes,rugosa,Dacryodes rugosa,yes,yes,n,F,30,154.17,0.74,J,W,1,s,p,d
dae205,Arecaceae,Daemonorops ,sp. TFD205,Daemonorops  sp. TFD205,no,yes,n,G,na,223.2,na,na,na,1,s,p,h
dal092,Leguminosae,Dalbergia,sp. TFD092,Dalbergia sp. TFD092,yes,yes,n,F,na,304.91,0.73,na,Y,2,s,p,h
daljun,Leguminosae,Dalbergia,junghuhnii,Dalbergia junghuhnii,yes,yes,n,F,na,304.91,0.73,na,Y,2,s,p,h
dalpin,Leguminosae,Dalbergia,pinnata,Dalbergia pinnata,yes,yes,n,F,12,304.91,0.73,na,Y,2,s,p,h
daplau,Daphniphyllaceae,Daphniphyllum,laurinum,Daphniphyllum laurinum,yes,yes,n,F,21,206.09,0.47,J,W,1,s,p,na
deh085,Lauraceae,Dehaassia,sp. TFD085,Dehaassia sp. TFD085,yes,yes,n,F,na,130.94,0.57,J,W,1,s,p,na
denell,Urticaceae,Dendrocnide,elliptica,Dendrocnide elliptica,yes,yes,n,F,17,309.09,0.21,na,R,na,s,p,d
derele,Leguminosae,Derris,elegans,Derris elegans,no,yes,n,G,na,304.91,0.67,na,Y,3,s,p,h
desgyr,Leguminosae,Desmodium,gyroides,Desmodium gyroides,no,no,n,E,2,661.74,na,na,Y,3,s,p,m
diccur,Gleicheniaceae,Dicranopteris,curranii,Dicranopteris curranii,no,no,n,A,3,172.31,na,Q,na,na,v,na,m
dicgel,Dichapetalaceae,Dichapetalum,gelonioides,Dichapetalum gelonioides,yes,yes,n,F,5,278.88,0.76,J,W,1,s,p,na
diclin,Gleicheniaceae,Dicranopteris,linearis,Dicranopteris linearis,no,no,n,A,3,172.31,na,Q,na,na,v,p,m
dilexc,Dilleniaceae,Dillenia,excelsa,Dillenia excelsa,yes,yes,n,F,40,91.47,0.68,N,X,4,s,p,d
dimlonm,Sapindaceae,Dimocarpus,longan var. malesianus,Dimocarpus longan var. malesianus,yes,yes,n,F,40,143.08,0.7,J,S,1,s,p,na
din141,Poaceae,Dinochloa,sp. TFD141,Dinochloa sp. TFD141,no,no,n,D,na,172.92,na,na,V,na,sv,p,na
dintri,Poaceae,Dinochloa,trichogona,Dinochloa trichogona,no,no,n,D,na,172.92,na,na,V,na,sv,p,na
dio056,Dioscoreaceae,Dioscorea,sp. TFD056,Dioscorea sp. TFD056,no,no,n,D,na,223.2,na,na,na,na,s,p,h
dio063,Ebenaceae,Diospyros,sp. TFD063,Diospyros sp. TFD063,yes,yes,n,F,na,133.02,0.66,J,S,3,s,p,e
diocau1,Ebenaceae,Diospyros,cf. cauliflora,Diospyros cf. cauliflora,yes,yes,n,F,17,133.02,0.54,J,S,2,s,p,e
diocur1,Ebenaceae,Diospyros,cf. curranii,Diospyros cf. curranii,yes,yes,n,F,30,133.02,0.66,J,S,3,s,p,e
